business_postal_code_1,inspection_id,inspection_date,inspection_score,violation_description,risk_category,neighborhoods,Current Police Districts,population,avg_income
94117,5144_20170601,June,90,Improper or defective plumbing,Low Risk,24,4,"38,758","$63,983.00 "
94114,5838_20190925,September,93,No hot water or running water,High Risk,115,3,"30,574","$75,727.00 "
94133,488_20180116,January,92,Inadequate and inaccessible handwashing facilities,Moderate Risk,106,6,"26,827","$40,990.00 "
94103,3838_20180222,February,72,Unclean or degraded floors walls or ceilings,Low Risk,37,3,"23,016","$31,131.00 "
94117,59988_20190424,April,84,Foods not protected from contamination,Moderate Risk,26,4,"38,758","$63,983.00 "
94110,64667_20190910,September,92,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"74,633","$53,795.00 "
94107,60331_20170124,January,71,Unclean nonfood contact surfaces,Low Risk,54,2,"17,368","$61,362.00 "
94110,39776_20190422,April,65,Unclean nonfood contact surfaces,Low Risk,53,3,"74,633","$53,795.00 "
94109,5124_20171012,October,96,Permit license or inspection report not posted,Low Risk,50,6,"56,322","$43,444.00 "
94110,64076_20171106,November,86,Unclean or degraded floors walls or ceilings,Low Risk,53,3,"74,633","$53,795.00 "
94109,2519_20190709,July,90,Improper food storage,Low Risk,100,4,"56,322","$43,444.00 "
94133,63121_20190605,June,86,Low risk vermin infestation,Low Risk,106,6,"26,827","$40,990.00 "
94133,4416_20171012,October,94,Improper storage of equipment utensils or linens,Low Risk,106,6,"26,827","$40,990.00 "
94102,63653_20190904,September,83,Improper cooling methods,High Risk,19,6,"28,991","$22,351.00 "
94118,32625_20190425,April,94,Moderate risk food holding temperature,Moderate Risk,5,8,"38,939","$61,609.00 "
94110,2426_20180508,May,89,Improper cooling methods,High Risk,53,3,"74,633","$53,795.00 "
94108,2234_20190107,January,72,Moderate risk food holding temperature,Moderate Risk,104,6,"13,716","$31,542.00 "
94110,1075_20190926,September,94,Inadequate and inaccessible handwashing facilities,Moderate Risk,53,3,"74,633","$53,795.00 "
94133,63121_20180611,June,81,High risk food holding temperature,High Risk,106,6,"26,827","$40,990.00 "
94103,2854_20190313,March,88,Moderate risk food holding temperature,Moderate Risk,32,1,"23,016","$31,131.00 "
94107,13218_20170829,August,85,Moderate risk vermin infestation,Moderate Risk,31,1,"17,368","$61,362.00 "
94133,792_20190626,June,96,Unapproved or unmaintained equipment or utensils,Low Risk,108,6,"26,827","$40,990.00 "
94121,38072_20180925,September,73,Moderate risk food holding temperature,Moderate Risk,8,8,"42,473","$61,776.00 "
94110,7645_20161230,December,90,Improper food storage,Low Risk,53,3,"74,633","$53,795.00 "
94109,33442_20180131,January,87,Improper storage of equipment utensils or linens,Low Risk,105,4,"56,322","$43,444.00 "
94110,999_20170714,July,77,Unclean nonfood contact surfaces,Low Risk,53,3,"74,633","$53,795.00 "
94109,63413_20170202,February,94,Inadequate warewashing facilities or equipment,Low Risk,105,4,"56,322","$43,444.00 "
94121,35805_20190619,June,83,Moderate risk food holding temperature,Moderate Risk,8,8,"42,473","$61,776.00 "
94132,61285_20190322,March,91,High risk food holding temperature,High Risk,41,10,"26,291","$55,000.00 "
94110,1243_20171012,October,87,High risk vermin infestation,High Risk,37,3,"74,633","$53,795.00 "
94102,3495_20190626,June,90,Other low risk violation,Low Risk,50,6,"28,991","$22,351.00 "
94110,2893_20170919,September,86,Low risk vermin infestation,Low Risk,53,3,"74,633","$53,795.00 "
94108,2233_20190708,July,81,Inadequate and inaccessible handwashing facilities,Moderate Risk,104,6,"13,716","$31,542.00 "
94112,827_20170302,March,84,Unclean or unsanitary food contact surfaces,High Risk,90,9,"73,104","$57,629.00 "
94107,37688_20190604,June,94,Unclean or degraded floors walls or ceilings,Low Risk,32,1,"17,368","$61,362.00 "
94105,3858_20180501,May,92,No thermometers or uncalibrated thermometers,Low Risk,32,1,"2,058","$88,976.00 "
94110,7661_20170719,July,92,Unclean nonfood contact surfaces,Low Risk,53,3,"74,633","$53,795.00 "
94123,57630_20180209,February,96,Permit license or inspection report not posted,Low Risk,15,4,"22,903","$84,710.00 "
94133,2836_20180612,June,92,Improper storage of equipment utensils or linens,Low Risk,99,6,"26,827","$40,990.00 "
94132,3267_20180510,May,83,Unapproved or unmaintained equipment or utensils,Low Risk,41,10,"26,291","$55,000.00 "
94103,403_20180430,April,94,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,32,5,"23,016","$31,131.00 "
94103,35591_20180109,January,87,Low risk vermin infestation,Low Risk,37,3,"23,016","$31,131.00 "
94124,36022_20190109,January,75,Improper cooling methods,High Risk,76,2,"33,170","$37,146.00 "
94122,4672_20171120,November,84,Moderate risk food holding temperature,Moderate Risk,39,10,"55,492","$60,733.00 "
94107,2156_20171121,November,90,Moderate risk food holding temperature,Moderate Risk,54,2,"17,368","$61,362.00 "
94103,63757_20180108,January,80,No hot water or running water,High Risk,32,5,"23,016","$31,131.00 "
94103,2743_20190111,January,96,Unclean or degraded floors walls or ceilings,Low Risk,53,3,"23,016","$31,131.00 "
94110,7493_20170517,May,85,Permit license or inspection report not posted,Low Risk,53,3,"74,633","$53,795.00 "
94133,3272_20190430,April,92,Unapproved or unmaintained equipment or utensils,Low Risk,106,6,"26,827","$40,990.00 "
94108,34221_20180501,May,89,High risk food holding temperature,High Risk,19,6,"13,716","$31,542.00 "
94102,59828_20190820,August,55,Employee eating or smoking,Moderate Risk,20,5,"28,991","$22,351.00 "
94115,5854_20180227,February,98,Unapproved or unmaintained equipment or utensils,Low Risk,97,4,"33,115","$54,879.00 "
94133,2933_20180208,February,79,Inadequate and inaccessible handwashing facilities,Moderate Risk,99,6,"26,827","$40,990.00 "
94115,64835_20161024,October,84,Moderate risk food holding temperature,Moderate Risk,102,4,"33,115","$54,879.00 "
94108,3578_20170322,March,96,Moderate risk food holding temperature,Moderate Risk,19,6,"13,716","$31,542.00 "
94115,61056_20170905,September,92,Improper food storage,Low Risk,102,4,"33,115","$54,879.00 "
94133,1579_20171211,December,92,Unclean nonfood contact surfaces,Low Risk,106,6,"26,827","$40,990.00 "
94110,36589_20180604,June,67,Improper thawing methods,Moderate Risk,53,3,"74,633","$53,795.00 "
94108,64154_20171109,November,86,Moderate risk food holding temperature,Moderate Risk,104,6,"13,716","$31,542.00 "
94102,62277_20180221,February,87,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,21,4,"28,991","$22,351.00 "
94122,2292_20161130,November,79,Moderate risk food holding temperature,Moderate Risk,39,10,"55,492","$60,733.00 "
94122,3190_20190110,January,70,Unclean nonfood contact surfaces,Low Risk,39,10,"55,492","$60,733.00 "
94122,552_20170815,August,81,Improper food storage,Low Risk,39,10,"55,492","$60,733.00 "
94105,3082_20180124,January,90,Low risk vermin infestation,Low Risk,108,6,"2,058","$88,976.00 "
94102,32872_20170209,February,80,Foods not protected from contamination,Moderate Risk,50,6,"28,991","$22,351.00 "
94109,874_20170908,September,85,Unclean or degraded floors walls or ceilings,Low Risk,105,4,"56,322","$43,444.00 "
94109,32919_20180501,May,70,Contaminated or adulterated food,High Risk,20,5,"56,322","$43,444.00 "
94118,3738_20190312,March,87,Unclean hands or improper use of gloves,High Risk,5,8,"38,939","$61,609.00 "
94110,32925_20170810,August,78,High risk vermin infestation,High Risk,53,3,"74,633","$53,795.00 "
94107,4777_20190212,February,92,Low risk vermin infestation,Low Risk,31,1,"17,368","$61,362.00 "
94110,63169_20180717,July,88,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,53,3,"74,633","$53,795.00 "
94122,18767_20170906,September,86,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,39,10,"55,492","$60,733.00 "
94123,268_20190813,August,82,Contaminated or adulterated food,High Risk,17,4,"22,903","$84,710.00 "
94103,2737_20170725,July,90,Inadequate and inaccessible handwashing facilities,Moderate Risk,32,1,"23,016","$31,131.00 "
94127,5796_20170825,August,98,Improper food storage,Low Risk,63,10,"20,624","$95,313.00 "
94110,7087_20180308,March,87,High risk food holding temperature,High Risk,53,3,"74,633","$53,795.00 "
94110,1619_20180403,April,90,Low risk vermin infestation,Low Risk,53,3,"74,633","$53,795.00 "
94124,816_20181127,November,88,Moderate risk vermin infestation,Moderate Risk,88,2,"33,170","$37,146.00 "
94102,25161_20190610,June,96,Inadequate warewashing facilities or equipment,Low Risk,19,6,"28,991","$22,351.00 "
94103,2638_20180830,August,86,Permit license or inspection report not posted,Low Risk,37,3,"23,016","$31,131.00 "
94102,102_20180302,March,86,Inadequate ventilation or lighting,Low Risk,19,6,"28,991","$22,351.00 "
94110,27350_20190627,June,75,Foods not protected from contamination,Moderate Risk,53,3,"74,633","$53,795.00 "
94133,3429_20171121,November,92,Unclean or degraded floors walls or ceilings,Low Risk,99,6,"26,827","$40,990.00 "
94112,25167_20161208,December,92,Moderate risk food holding temperature,Moderate Risk,90,9,"73,104","$57,629.00 "
94112,3256_20161005,October,87,Inadequate and inaccessible handwashing facilities,Moderate Risk,66,9,"73,104","$57,629.00 "
94110,63169_20161230,December,81,Food safety certificate or food handler card not available,Low Risk,53,3,"74,633","$53,795.00 "
94122,18767_20170906,September,86,Moderate risk vermin infestation,Moderate Risk,39,10,"55,492","$60,733.00 "
94104,1692_20181030,October,88,Foods not protected from contamination,Moderate Risk,108,6,374,"$14,609.00 "
94124,23273_20171218,December,96,Moderate risk vermin infestation,Moderate Risk,87,2,"33,170","$37,146.00 "
94109,34858_20170424,April,92,Moderate risk vermin infestation,Moderate Risk,50,6,"56,322","$43,444.00 "
94110,1021_20170912,September,90,Moderate risk food holding temperature,Moderate Risk,53,3,"74,633","$53,795.00 "
94109,639_20190917,September,94,Noncompliance with shell fish tags or display,Moderate Risk,105,4,"56,322","$43,444.00 "
94112,7243_20190220,February,75,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,90,9,"73,104","$57,629.00 "
94110,7489_20171114,November,86,Unclean or degraded floors walls or ceilings,Low Risk,53,3,"74,633","$53,795.00 "
94110,12970_20190925,September,96,Moderate risk vermin infestation,Moderate Risk,53,3,"74,633","$53,795.00 "
94115,628_20180504,May,74,No thermometers or uncalibrated thermometers,Low Risk,103,4,"33,115","$54,879.00 "
94109,1345_20180626,June,80,Inadequate ventilation or lighting,Low Risk,105,4,"56,322","$43,444.00 "
94117,1347_20190507,May,88,Moderate risk food holding temperature,Moderate Risk,29,7,"38,758","$63,983.00 "
94134,4502_20161102,November,82,Low risk vermin infestation,Low Risk,91,2,"40,134","$54,342.00 "
94112,2523_20170802,August,88,Unclean unmaintained or improperly constructed toilet facilities,Low Risk,80,9,"73,104","$57,629.00 "
94109,1757_20190416,April,81,Improper food storage,Low Risk,105,4,"56,322","$43,444.00 "
94116,2293_20180605,June,96,Foods not protected from contamination,Moderate Risk,44,10,"42,958","$66,627.00 "
94111,61856_20180523,May,94,Improper or defective plumbing,Low Risk,108,6,"3,335","$56,569.00 "
94110,2426_20190509,May,83,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"74,633","$53,795.00 "
94108,34611_20170801,August,81,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,104,6,"13,716","$31,542.00 "
94103,5998_20180409,April,86,Unclean or degraded floors walls or ceilings,Low Risk,53,3,"23,016","$31,131.00 "
94107,62779_20180614,June,84,Unclean nonfood contact surfaces,Low Risk,31,1,"17,368","$61,362.00 "
94109,39176_20171219,December,79,Foods not protected from contamination,Moderate Risk,105,4,"56,322","$43,444.00 "
94122,1912_20180314,March,88,Low risk vermin infestation,Low Risk,39,10,"55,492","$60,733.00 "
94134,5926_20181018,October,93,No hot water or running water,High Risk,91,2,"40,134","$54,342.00 "
94114,36614_20180725,July,83,Foods not protected from contamination,Moderate Risk,38,3,"30,574","$75,727.00 "
94133,470_20180523,May,92,Permit license or inspection report not posted,Low Risk,106,6,"26,827","$40,990.00 "
94104,2252_20190715,July,96,Unclean nonfood contact surfaces,Low Risk,19,6,374,"$14,609.00 "
94102,3056_20170217,February,92,Unclean or degraded floors walls or ceilings,Low Risk,19,5,"28,991","$22,351.00 "
94110,2428_20170724,July,84,Noncompliance with HAACP plan or variance,Moderate Risk,53,3,"74,633","$53,795.00 "
94102,59422_20171127,November,96,Inadequate and inaccessible handwashing facilities,Moderate Risk,50,6,"28,991","$22,351.00 "
94103,6564_20180522,May,82,Unclean or degraded floors walls or ceilings,Low Risk,32,1,"23,016","$31,131.00 "
94115,40216_20180717,July,75,Improper thawing methods,Moderate Risk,101,4,"33,115","$54,879.00 "
94110,7761_20180103,January,90,Unclean nonfood contact surfaces,Low Risk,61,9,"74,633","$53,795.00 "
94114,1352_20161129,November,86,Inadequate and inaccessible handwashing facilities,Moderate Risk,38,3,"30,574","$75,727.00 "
94117,7655_20180920,September,94,Food safety certificate or food handler card not available,Low Risk,22,4,"38,758","$63,983.00 "
94122,63713_20171215,December,96,Improper food storage,Low Risk,39,10,"55,492","$60,733.00 "
94110,95_20190812,August,85,High risk vermin infestation,High Risk,83,9,"74,633","$53,795.00 "
94102,5215_20170922,September,98,Low risk vermin infestation,Low Risk,20,5,"28,991","$22,351.00 "
94110,1249_20180515,May,74,Unapproved or unmaintained equipment or utensils,Low Risk,53,3,"74,633","$53,795.00 "
94103,2638_20190717,July,81,Unclean nonfood contact surfaces,Low Risk,37,3,"23,016","$31,131.00 "
94122,24572_20190716,July,69,Unclean or degraded floors walls or ceilings,Low Risk,39,10,"55,492","$60,733.00 "
94109,2942_20190111,January,88,Unclean or degraded floors walls or ceilings,Low Risk,102,4,"56,322","$43,444.00 "
94117,64057_20180618,June,92,Moderate risk food holding temperature,Moderate Risk,112,4,"38,758","$63,983.00 "
94102,62462_20171023,October,73,Improper or defective plumbing,Low Risk,20,5,"28,991","$22,351.00 "
94117,1262_20171215,December,90,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,29,7,"38,758","$63,983.00 "
94133,854_20180816,August,92,Inadequate and inaccessible handwashing facilities,Moderate Risk,106,6,"26,827","$40,990.00 "
94114,4483_20171201,December,90,Improper food labeling or menu misrepresentation,Low Risk,84,3,"30,574","$75,727.00 "
94108,34458_20190204,February,84,Foods not protected from contamination,Moderate Risk,104,6,"13,716","$31,542.00 "
94110,2659_20170306,March,79,Food safety certificate or food handler card not available,Low Risk,83,9,"74,633","$53,795.00 "
94110,2749_20161128,November,94,Moderate risk vermin infestation,Moderate Risk,83,9,"74,633","$53,795.00 "
94133,27680_20170502,May,84,Moderate risk vermin infestation,Moderate Risk,106,6,"26,827","$40,990.00 "
94133,58628_20180813,August,94,Improper storage of equipment utensils or linens,Low Risk,99,6,"26,827","$40,990.00 "
94117,7095_20181210,December,94,Unapproved or unmaintained equipment or utensils,Low Risk,26,4,"38,758","$63,983.00 "
94123,4555_20171128,November,94,Low risk vermin infestation,Low Risk,17,4,"22,903","$84,710.00 "
94109,63897_20190710,July,88,Moderate risk vermin infestation,Moderate Risk,105,4,"56,322","$43,444.00 "
94114,3331_20181015,October,94,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,38,3,"30,574","$75,727.00 "
94102,62462_20190612,June,83,Unclean nonfood contact surfaces,Low Risk,20,5,"28,991","$22,351.00 "
94133,3895_20190422,April,84,Permit license or inspection report not posted,Low Risk,106,6,"26,827","$40,990.00 "
94107,3072_20170112,January,92,Inadequate and inaccessible handwashing facilities,Moderate Risk,32,1,"17,368","$61,362.00 "
94122,972_20161109,November,83,Inadequate and inaccessible handwashing facilities,Moderate Risk,39,10,"55,492","$60,733.00 "
94122,3211_20170912,September,85,Inadequate warewashing facilities or equipment,Low Risk,39,10,"55,492","$60,733.00 "
94110,1632_20170314,March,94,Unclean or degraded floors walls or ceilings,Low Risk,83,3,"74,633","$53,795.00 "
94110,33700_20161018,October,94,Inadequate dressing rooms or improper storage of personal items,Low Risk,53,3,"74,633","$53,795.00 "
94103,38330_20180625,June,94,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,37,3,"23,016","$31,131.00 "
94123,4716_20170925,September,88,Low risk vermin infestation,Low Risk,15,4,"22,903","$84,710.00 "
94105,39667_20190501,May,89,Inadequate and inaccessible handwashing facilities,Moderate Risk,108,6,"2,058","$88,976.00 "
94102,34839_20190611,June,90,Moderate risk food holding temperature,Moderate Risk,20,4,"28,991","$22,351.00 "
94109,4037_20170505,May,90,Permit license or inspection report not posted,Low Risk,50,4,"56,322","$43,444.00 "
94103,10332_20171002,October,79,Inadequate sewage or wastewater disposal,Moderate Risk,32,1,"23,016","$31,131.00 "
94133,61351_20190318,March,92,Improper or defective plumbing,Low Risk,106,6,"26,827","$40,990.00 "
94102,1232_20190211,February,88,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,19,5,"28,991","$22,351.00 "
94133,2788_20180612,June,92,Unclean or degraded floors walls or ceilings,Low Risk,107,6,"26,827","$40,990.00 "
94108,37231_20171206,December,85,Moderate risk vermin infestation,Moderate Risk,104,6,"13,716","$31,542.00 "
94110,2356_20171127,November,85,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,53,3,"74,633","$53,795.00 "
94102,37732_20170830,August,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,20,5,"28,991","$22,351.00 "
94127,2808_20170621,June,81,Other low risk violation,Low Risk,67,10,"20,624","$95,313.00 "
94110,4917_20180605,June,69,Foods not protected from contamination,Moderate Risk,53,3,"74,633","$53,795.00 "
94133,4622_20171115,November,86,Improper food storage,Low Risk,104,6,"26,827","$40,990.00 "
94112,5925_20170131,January,90,Inadequate sewage or wastewater disposal,Moderate Risk,71,9,"73,104","$57,629.00 "
94104,3571_20190409,April,88,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,108,6,374,"$14,609.00 "
94109,2032_20190711,July,92,Moderate risk vermin infestation,Moderate Risk,100,4,"56,322","$43,444.00 "
94102,61953_20171204,December,94,Improper food storage,Low Risk,20,5,"28,991","$22,351.00 "
94134,3861_20171106,November,83,Improper cooling methods,High Risk,91,2,"40,134","$54,342.00 "
94110,63576_20161220,December,94,Unclean nonfood contact surfaces,Low Risk,83,9,"74,633","$53,795.00 "
94103,10332_20190716,July,82,High risk vermin infestation,High Risk,32,1,"23,016","$31,131.00 "
94121,2279_20190913,September,90,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,5,8,"42,473","$61,776.00 "
94110,1005_20190808,August,88,Unclean nonfood contact surfaces,Low Risk,53,3,"74,633","$53,795.00 "
94117,1927_20171114,November,96,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,24,7,"38,758","$63,983.00 "
94103,1154_20190327,March,46,Unclean hands or improper use of gloves,High Risk,37,3,"23,016","$31,131.00 "
94105,7534_20171207,December,96,Unclean unmaintained or improperly constructed toilet facilities,Low Risk,108,6,"2,058","$88,976.00 "
94107,21143_20180307,March,92,Inadequate and inaccessible handwashing facilities,Moderate Risk,32,1,"17,368","$61,362.00 "
94109,3338_20180223,February,92,Improper food storage,Low Risk,105,4,"56,322","$43,444.00 "
94103,19003_20180118,January,83,Employee eating or smoking,Moderate Risk,53,3,"23,016","$31,131.00 "
94133,2223_20181219,December,80,Unclean or unsanitary food contact surfaces,High Risk,104,6,"26,827","$40,990.00 "
94109,59949_20171017,October,94,Unclean or degraded floors walls or ceilings,Low Risk,50,4,"56,322","$43,444.00 "
94103,2326_20180411,April,74,Food safety certificate or food handler card not available,Low Risk,53,3,"23,016","$31,131.00 "
94109,302_20170728,July,81,Moderate risk food holding temperature,Moderate Risk,20,6,"56,322","$43,444.00 "
94110,2659_20180327,March,77,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,83,9,"74,633","$53,795.00 "
94109,2110_20180205,February,81,Unclean unmaintained or improperly constructed toilet facilities,Low Risk,20,6,"56,322","$43,444.00 "
94109,24198_20180313,March,89,Unclean nonfood contact surfaces,Low Risk,50,6,"56,322","$43,444.00 "
94110,929_20180813,August,89,Inadequately cleaned or sanitized food contact surfaces,Moderate Risk,37,3,"74,633","$53,795.00 "
94133,3443_20170921,September,88,Improper storage of equipment utensils or linens,Low Risk,99,6,"26,827","$40,990.00 "
94110,60616_20171114,November,89,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,53,3,"74,633","$53,795.00 "
94121,606_20190313,March,80,Improper storage of equipment utensils or linens,Low Risk,8,8,"42,473","$61,776.00 "
94111,57552_20161116,November,70,No person in charge of food facility,Low Risk,108,6,"3,335","$56,569.00 "
